Lane,ID,Title,Team,FunctionalObjective,ProductDeliverable,AgenticDeliverable,OpenCodeConcept,Dependencies,AcceptanceCriteria,Difficulty,EstimatedMinutes
"Foundation","FND-01","Ghostfolio technical map for the feature","Cualquiera","Understand where everything lives so nothing breaks when building insights","Technical map (files, contracts, endpoints, risks)","Execute /workshop-inspect-architecture with the ghostfolio-architect agent","Command + Agent","-","Document with real verified paths and recommended planning command","Baja","20"
"Foundation","FND-02","Functional contract of the Portfolio Insights Assistant","Datos/Dominio","Define what insights the feature offers and in what data shape","Insights data contract (fields, types, examples)","Skill ghostfolio-domain-analysis + agente portfolio-domain-agent + datos via MCP","Skill + Agent + MCP","FND-01","Contract with 3-5 descriptive insights traceable to MCP metrics","Media","30"
"Frontend","FE-01","Portfolio Insights widget in the UI","Frontend","Let a user see a panel with insights from the demo portfolio","Plan or component of a visible widget with concentration/anomalies","/workshop-plan-frontend-card FE-01 + frontend-angular-agent + skill angular-nx-development","Command + Agent + Skill","FND-02","Plan with real component path, analogous component, inputs/contract and validation (npm run lint)","Media","40"
"Frontend","FE-02","Demo Portfolio Health section","Frontend","A view that summarises the descriptive health of the demo portfolio","Plan or view with simple health/insights visualisation","/workshop-plan-frontend-card FE-02 + frontend-angular-agent + angular-nx-development","Command + Agent + Skill","FE-01 o FND-02","Plan with where the view is mounted, what metrics it shows and where they come from","Media","35"
"Frontend","FE-03","Explain demo portfolio button","Frontend","An interaction that requests and displays the demo portfolio summary","Plan or implementation of a button that consumes an endpoint/MCP","/workshop-plan-frontend-card FE-03 + /workshop-review-financial-safety","Command + Agent + Safety review","FE-01, BE-01 o MCP-02","The displayed text passes the safety review (PASS) and is descriptive","Media","35"
"Backend","BE-01","Mocked portfolio insights endpoint","Backend","Expose a deterministic demo summary for the frontend to consume","Technical plan for the endpoint (module/controller/service + DTO)","/workshop-plan-backend-card BE-01 + backend-nestjs-agent + skill nestjs-api-development","Command + Agent + Skill","FND-02","Plan with contract in libs/common, route /api/v1, analogous module and validation npm run test:api; no real LLM","Media","40"
"Backend","BE-02","Concentration service by account/symbol","Backend","Calculate the exposure/concentration of each account as reusable data","Backend service or plan that calculates cost per symbol and quota per account","backend-nestjs-agent + skill prisma-readonly-data-access","Agent + Skill","FND-02; alineado con DATA-01","Read-only logic that reproduces the MCP get_symbol_exposure figures","Alta","45"
"Domain & Data","DATA-01","Concentration/exposure rules for the demo portfolio","Datos/Dominio","Define how concentration is measured in a descriptive way","Exposure rules document with real figures from the demo dataset","/workshop-analyze-demo-portfolio + portfolio-domain-agent + skill ghostfolio-domain-analysis + MCP","Command + Agent + Skill + MCP","MCP-02","Rules with MCP figures and currency/cost caveat","Media","35"
"Domain & Data","DATA-02","Anomaly rules on imported data","Datos/Dominio","Define what counts as an anomaly in imported data","Anomaly catalogue with definition and severity","MCP detect_demo_anomalies + skill prisma-readonly-data-access + /workshop-review-financial-safety","MCP + Skill + Safety","MCP-03","Catalogue that explains the 5 types and matches the MCP output","Media","35"
"MCP","MCP-01","Local read-only MCP for demo data","MCP/Plataforma","Give OpenCode a stable tool to query demo data without destructive access","Local MCP server registered in opencode.json with list_demo_accounts","Agente mcp-builder-agent + skill mcp-server-authoring + config opencode.json","MCP + Agent + Skill + Config","-","check-demo-mcp passes green; OpenCode lists the server tools","Media","40"
"MCP","MCP-02","Tool get_demo_portfolio_summary","MCP/Plataforma","Allow any agent to obtain a deterministic summary of the demo portfolio","MCP tool with totals, holdings and concentration per account","/workshop-plan-mcp-card MCP-02 + mcp-builder-agent + mcp-server-authoring","MCP tool","MCP-01","Returns 3 accounts, 54 activities and quotas per symbol; smoke test green","Media","35"
"MCP","MCP-03","Tool detect_demo_anomalies","MCP/Plataforma","Deterministically detect simple anomalies in imported data","MCP tool that reports duplicates, high commission, currency, atypical price and oversale","mcp-builder-agent + mcp-server-authoring + /workshop-review-financial-safety","MCP tool + Safety","MCP-01","Detects the 5 types in the anomalies CSV and ~0 in the clean dataset","Alta","45"
"Safety & Review","SAFE-01","Assistant limits guide","Safety","Make clear what the feature can and cannot say","Limits guide + safety acceptance checklist","Agente financial-safety-reviewer + skill financial-safety-review","Agent + Skill","-","Checklist of 7 points and PASS/FAIL examples applicable to FE/MCP/INT","Baja","25"
"Safety & Review","SAFE-02","Review that a response does not recommend buying/selling","Safety","Ensure that no visible text recommends personalised financial actions","PASS/FAIL report with findings and safe rewrite","/workshop-review-financial-safety + financial-safety-reviewer","Command + Agent + Skill","Something to review (FE-03, DATA-01, INT-01)","Report with verdict and, if FAIL, a safe rewrite","Baja","20"
"Integration","INT-01","End-to-end demo happy path","Integracion","Demonstrate the complete data->MCP->analysis->insights->safety cycle","Demonstrable and reproducible path (Portfolio Insights Demo)","/workshop-implement-small-product-slice INT-01 + /workshop-demo-runbook + skill product-slice-delivery","Command + Skill","MCP-02, MCP-03, SAFE-02","/workshop-analyze-demo-portfolio runs, outputs summary with MCP figures and passes safety; steps are repeatable","Media","40"
"Integration","INT-02","Team handoff","Integracion/Facilitacion","Allow one team to continue another team's work without losing context","Handoff document per card","/workshop-prepare-team-handoff + workshop-facilitator-agent + plantilla team-handoff-template","Command + Agent","Any card in progress","Handoff with components used, files touched, tests and next step","Baja","20"
