Date,Code,Name,Action,Currency,Price,Quantity,Fee,DataSource,Account,Comment
2024-01-12,BTC-USD,Bitcoin USD,BUY,USD,43500,0.035,2.5,YAHOO,Crypto Exchange,scenario=crypto-volatility; initial BTC allocation
2024-02-10,ETH-USD,Ethereum USD,BUY,USD,2400,0.6,2,YAHOO,Crypto Exchange,scenario=crypto-volatility; initial ETH allocation
2024-05-20,BTC-USD,Bitcoin USD,BUY,USD,66000,0.02,2.5,YAHOO,Crypto Exchange,scenario=crypto-volatility; adds after rally
2024-08-05,ETH-USD,Ethereum USD,BUY,USD,3100,0.4,2,YAHOO,Crypto Exchange,scenario=crypto-volatility
2024-11-12,BTC-USD,Bitcoin USD,BUY,USD,88000,0.015,2.5,YAHOO,Crypto Exchange,scenario=crypto-volatility; FOMO-like add
2025-01-05,BTC-USD,Bitcoin USD,SELL,USD,96000,0.01,2.5,YAHOO,Crypto Exchange,scenario=rebalancing; takes partial crypto profits
2025-03-08,ETH-USD,Ethereum USD,BUY,USD,2100,0.5,2,YAHOO,Crypto Exchange,scenario=crypto-volatility; buy after drawdown
2025-07-18,BTC-USD,Bitcoin USD,BUY,USD,108000,0.012,2.5,YAHOO,Crypto Exchange,scenario=crypto-volatility; high-price BTC add
2025-11-03,ETH-USD,Ethereum USD,SELL,USD,3700,0.3,2,YAHOO,Crypto Exchange,scenario=rebalancing; trims ETH
2026-01-15,BTC-USD,Bitcoin USD,BUY,USD,97000,0.008,2.5,YAHOO,Crypto Exchange,scenario=crypto-volatility
2026-04-18,ETH-USD,Ethereum USD,BUY,USD,3150,0.25,2,YAHOO,Crypto Exchange,scenario=crypto-volatility
