Date,Code,Name,Action,Currency,Price,Quantity,Fee,DataSource,Account,Comment
2024-01-12,BTC-USD,Bitcoin USD,BUY,USD,43500,0.035,2.5,YAHOO,Crypto Exchange,scenario=crypto-volatility; initial BTC allocation
2024-01-15,VWCE.DE,Vanguard FTSE All-World UCITS ETF Acc,BUY,EUR,102.4,10,1,YAHOO,MyInvestor Core ETF,scenario=dca-core; first core global ETF purchase
2024-02-10,ETH-USD,Ethereum USD,BUY,USD,2400,0.6,2,YAHOO,Crypto Exchange,scenario=crypto-volatility; initial ETH allocation
2024-02-15,SXR8.DE,iShares Core S&P 500 UCITS ETF Acc,BUY,EUR,470,2,1,YAHOO,MyInvestor Core ETF,scenario=us-exposure; adds S&P 500 exposure
2024-03-15,IUSN.DE,iShares MSCI World Small Cap UCITS ETF,BUY,EUR,5.92,35,1,YAHOO,MyInvestor Core ETF,scenario=small-cap-diversification
2024-04-15,EUNA.DE,iShares Core Global Aggregate Bond UCITS ETF EUR Hedged,BUY,EUR,5.04,200,1,YAHOO,MyInvestor Core ETF,scenario=bond-sleeve; stabilizer allocation
2024-05-15,VWCE.DE,Vanguard FTSE All-World UCITS ETF Acc,BUY,EUR,105,8,1,YAHOO,MyInvestor Core ETF,scenario=dca-core
2024-05-20,BTC-USD,Bitcoin USD,BUY,USD,66000,0.02,2.5,YAHOO,Crypto Exchange,scenario=crypto-volatility; adds after rally
2024-06-15,IS3N.DE,iShares Core MSCI EM IMI UCITS ETF Acc,BUY,EUR,32.2,40,1,YAHOO,MyInvestor Core ETF,scenario=emerging-markets
2024-07-10,NVDA,NVIDIA Corporation,BUY,USD,125,10,1,YAHOO,Trade Republic Growth,scenario=tech-concentration; post-split NVDA entry
2024-07-15,EXSA.DE,iShares STOXX Europe 600 UCITS ETF Dist,BUY,EUR,51,20,1,YAHOO,MyInvestor Core ETF,scenario=europe-dividend-income
2024-07-18,AAPL,Apple Inc.,BUY,USD,225,6,1,YAHOO,Trade Republic Growth,scenario=tech-concentration
2024-08-01,MSFT,Microsoft Corporation,BUY,USD,415,3,1,YAHOO,Trade Republic Growth,scenario=tech-concentration
2024-08-05,ETH-USD,Ethereum USD,BUY,USD,3100,0.4,2,YAHOO,Crypto Exchange,scenario=crypto-volatility
2024-08-20,GOOGL,Alphabet Inc. Class A,BUY,USD,165,4,1,YAHOO,Trade Republic Growth,scenario=tech-concentration
2024-09-05,AMZN,Amazon.com Inc.,BUY,USD,180,5,1,YAHOO,Trade Republic Growth,scenario=tech-concentration
2024-09-15,VWCE.DE,Vanguard FTSE All-World UCITS ETF Acc,BUY,EUR,110,9,1,YAHOO,MyInvestor Core ETF,scenario=dca-core
2024-10-01,ASML.AS,ASML Holding N.V.,BUY,EUR,760,1.2,1,YAHOO,Trade Republic Growth,scenario=europe-tech; mixed-currency portfolio
2024-10-15,EUNA.DE,iShares Core Global Aggregate Bond UCITS ETF EUR Hedged,BUY,EUR,5.12,180,1,YAHOO,MyInvestor Core ETF,scenario=bond-sleeve
2024-10-15,NVDA,NVIDIA Corporation,BUY,USD,140,4,1,YAHOO,Trade Republic Growth,scenario=tech-concentration; adds to winner
2024-11-08,AAPL,Apple Inc.,BUY,USD,228,4,1,YAHOO,Trade Republic Growth,scenario=tech-concentration
2024-11-12,BTC-USD,Bitcoin USD,BUY,USD,88000,0.015,2.5,YAHOO,Crypto Exchange,scenario=crypto-volatility; FOMO-like add
2024-12-15,IUSN.DE,iShares MSCI World Small Cap UCITS ETF,BUY,EUR,6.2,30,1,YAHOO,MyInvestor Core ETF,scenario=small-cap-diversification
2024-12-18,MSFT,Microsoft Corporation,DIVIDEND,USD,0.83,3,0,YAHOO,Trade Republic Growth,scenario=dividend-income; quarterly dividend
2025-01-05,BTC-USD,Bitcoin USD,SELL,USD,96000,0.01,2.5,YAHOO,Crypto Exchange,scenario=rebalancing; takes partial crypto profits
2025-01-15,VWCE.DE,Vanguard FTSE All-World UCITS ETF Acc,BUY,EUR,116.5,10,1,YAHOO,MyInvestor Core ETF,scenario=dca-core
2025-01-20,MSFT,Microsoft Corporation,BUY,USD,430,2,1,YAHOO,Trade Republic Growth,scenario=tech-concentration
2025-02-20,NVDA,NVIDIA Corporation,BUY,USD,130,3,1,YAHOO,Trade Republic Growth,scenario=tech-concentration; buy-the-dip
2025-03-08,ETH-USD,Ethereum USD,BUY,USD,2100,0.5,2,YAHOO,Crypto Exchange,scenario=crypto-volatility; buy after drawdown
2025-03-10,AMZN,Amazon.com Inc.,SELL,USD,205,2,1,YAHOO,Trade Republic Growth,scenario=rebalancing; trims Amazon after run-up
2025-03-15,SXR8.DE,iShares Core S&P 500 UCITS ETF Acc,BUY,EUR,520,2,1,YAHOO,MyInvestor Core ETF,scenario=us-exposure
2025-04-15,IUSN.DE,iShares MSCI World Small Cap UCITS ETF,SELL,EUR,5.8,15,1,YAHOO,MyInvestor Core ETF,scenario=tax-loss-harvesting; partial small-cap sale
2025-04-15,ASML.AS,ASML Holding N.V.,BUY,EUR,650,0.8,1,YAHOO,Trade Republic Growth,scenario=europe-tech; adds after drawdown
2025-05-15,IS3N.DE,iShares Core MSCI EM IMI UCITS ETF Acc,BUY,EUR,34,35,1,YAHOO,MyInvestor Core ETF,scenario=emerging-markets
2025-06-18,AAPL,Apple Inc.,DIVIDEND,USD,0.26,10,0,YAHOO,Trade Republic Growth,scenario=dividend-income; Apple dividend
2025-06-30,EXSA.DE,iShares STOXX Europe 600 UCITS ETF Dist,DIVIDEND,EUR,0.72,20,0,YAHOO,MyInvestor Core ETF,scenario=dividend-income; Europe ETF distribution
2025-07-15,VWCE.DE,Vanguard FTSE All-World UCITS ETF Acc,BUY,EUR,119,8,1,YAHOO,MyInvestor Core ETF,scenario=dca-core
2025-07-18,BTC-USD,Bitcoin USD,BUY,USD,108000,0.012,2.5,YAHOO,Crypto Exchange,scenario=crypto-volatility; high-price BTC add
2025-08-12,GOOGL,Alphabet Inc. Class A,BUY,USD,180,3,1,YAHOO,Trade Republic Growth,scenario=tech-concentration
2025-09-15,EUNA.DE,iShares Core Global Aggregate Bond UCITS ETF EUR Hedged,BUY,EUR,5.3,160,1,YAHOO,MyInvestor Core ETF,scenario=bond-sleeve
2025-09-18,NVDA,NVIDIA Corporation,SELL,USD,165,4,1,YAHOO,Trade Republic Growth,scenario=rebalancing; trims concentrated NVDA position
2025-11-03,ETH-USD,Ethereum USD,SELL,USD,3700,0.3,2,YAHOO,Crypto Exchange,scenario=rebalancing; trims ETH
2025-11-15,VWCE.DE,Vanguard FTSE All-World UCITS ETF Acc,BUY,EUR,123,8,1,YAHOO,MyInvestor Core ETF,scenario=dca-core
2025-12-18,MSFT,Microsoft Corporation,DIVIDEND,USD,0.91,5,0,YAHOO,Trade Republic Growth,scenario=dividend-income; quarterly dividend
2026-01-15,BTC-USD,Bitcoin USD,BUY,USD,97000,0.008,2.5,YAHOO,Crypto Exchange,scenario=crypto-volatility
2026-01-15,VWCE.DE,Vanguard FTSE All-World UCITS ETF Acc,BUY,EUR,126,7,1,YAHOO,MyInvestor Core ETF,scenario=dca-core
2026-02-14,AAPL,Apple Inc.,BUY,USD,245,3,1,YAHOO,Trade Republic Growth,scenario=tech-concentration
2026-03-14,NVDA,NVIDIA Corporation,BUY,USD,185,2,1,YAHOO,Trade Republic Growth,scenario=tech-concentration; adds to AI exposure
2026-03-15,IS3N.DE,iShares Core MSCI EM IMI UCITS ETF Acc,BUY,EUR,36,30,1,YAHOO,MyInvestor Core ETF,scenario=emerging-markets
2026-04-10,AAPL,Apple Inc.,SELL,USD,230,2,1,YAHOO,Trade Republic Growth,scenario=rebalancing; small Apple trim
2026-04-18,ETH-USD,Ethereum USD,BUY,USD,3150,0.25,2,YAHOO,Crypto Exchange,scenario=crypto-volatility
2026-05-15,SXR8.DE,iShares Core S&P 500 UCITS ETF Acc,BUY,EUR,565,1.5,1,YAHOO,MyInvestor Core ETF,scenario=us-exposure; fractional ETF purchase
2026-05-20,EXSA.DE,iShares STOXX Europe 600 UCITS ETF Dist,DIVIDEND,EUR,0.75,20,0,YAHOO,MyInvestor Core ETF,scenario=dividend-income; recurring distribution
2026-05-20,AAPL,Apple Inc.,DIVIDEND,USD,0.26,11,0,YAHOO,Trade Republic Growth,scenario=dividend-income; Apple dividend
